ticker,salary,bonus,stock_awards,option_awards,non_equity_comp,pension_change,other_comp
TPG,509615,0,184999271,0,0,0,13177040
CG,838462,0,179981039,0,6000000,0,174597
AVGO,1200000,0,160540000,0,0,0,86161
PANW,750000,0,145374318,0,1500000,0,3800885
COTY,3549000,0,145875000,0,0,0,5486
UP,144231,0,148400000,0,188599,0,246023
BX,350000,0,0,0,0,0,119434375
CHTR,1700000,0,8696687,74956650,3499875,0,223866
RPRX,0,0,0,0,0,0,84837077
EDR,4911538,34650000,43470921,0,0,0,847045
APP,400000,0,82949922,0,0,0,11756
LYFT,514969,4250000,73322375,0,0,0,150683
FICO,750000,0,48996329,15347003,1200000,0,56630
AAPL,3000000,0,46970283,0,10713450,0,2526112
ZS,23660,0,57751823,0,0,0,0
CCCS,867860,0,53664000,0,0,0,17626
SPLK,729863,8000000,42154016,0,316761,0,12080
PLD,1,1912500,48967096,0,0,0,12000
ATH,1875000,0,6690787,0,0,0,42216981
KKR,300000,13000000,0,0,0,0,36659449
NFLX,3000000,0,0,28308620,16541385,0,1984931
WBD,3000000,0,23078769,0,22000000,0,1623777
MULN,750000,0,48879463,0,0,0,0
PLTK,17146,13652913,0,0,34131660,0,1187727
MSFT,2500000,0,39236137,0,6414750,0,361650
NMRK,1000000,6500000,40000000,0,0,0,238735
BKNG,750000,0,40929691,0,5000000,0,41043
ADBE,1500000,0,40077295,0,3000000,0,355283
LBTYA,2563000,0,10786249,13522965,15518263,0,2170423
OSCR,450000,0,43905864,0,182250,0,0
PYPL,302885,0,41137646,0,164384,0,311840
ROP,1000000,0,13982907,4632002,21168465,0,512211
VIR,675000,2500000,13419803,21604153,855360,0,437179
NOW,1325000,0,32777514,0,3152642,0,351088
TMUS,1748414,0,29281807,0,6387500,0,71131
XOM,1875000,4787000,23199750,0,5922953,0,1135195
VRDN,549475,0,8950000,26786134,0,0,122381
GSAT,142308,0,36075405,0,0,0,3749
MARA,800000,1800000,33506720,0,0,0,9900
AXP,1500000,9750000,19287280,4449964,0,64534,625127
CMCSA,2500000,0,15024591,9200027,8550000,0,199049
JPM,1500000,5000000,28000000,0,0,40185,553595
RJF,750000,9250100,24805953,0,0,0,106903
LEN,1000000,0,26270845,0,7000000,0,14068
DAL,950000,0,17000280,0,6292865,0,371183
PEP,1688462,0,10230075,0,13417400,7746199,824076
MS,1500000,8875000,22500000,0,0,4167,72439
NKE,1500000,0,13220455,7247371,6770000,0,4052059
BA,1400000,0,30231750,0,0,0,1138769
CWAN,653400,0,30605442,0,777807,0,263565
MDGL,275400,520000,31205000,0,268000,0,0
CERE,375411,0,26045297,5249993,326957,0,20993
TTD,1000000,0,13096634,13097280,4777916,0,34631
CSCO,1390000,0,24108979,0,6266676,0,78053
AI,1000000,0,29540333,0,1000000,0,171867
DIS,865385,0,16103421,10000027,2140000,2478333,0
ACN,1537500,0,26075827,0,3317000,0,620579
AAL,1300000,2750000,19500000,0,7778160,0,110002
PARAA,3100000,0,15535109,0,12400000,121824,100196
TECH,1184200,0,5000108,24325102,54092,0,21141
ARES,0,0,13728000,0,0,0,16848590
AMD,1200000,0,21848258,5838512,1432800,0,28711
COOP,1000000,0,24668773,0,4625000,0,17189
VLO,1440000,0,16554448,0,4461005,7333290,248895
USFD,1285000,3000000,23215061,0,2059939,0,324257
CSGP,997000,0,23225988,2119231,2250000,0,583961
IQV,1800000,0,16405071,4752781,4779661,844991,569248
NXST,2800000,1800000,21233343,0,3104526,0,173170
DRVN,1000000,0,22442237,5363937,225000,0,44442
QSR,890000,0,26007809,0,2054471,0,15261
ALGN,1354769,0,26230870,0,1346200,0,20572
BATRA,1620000,0,7131983,3822432,14274900,1111010,694868
COF,0,5000000,23458681,0,0,10832,120060
BAC,1500000,0,25728076,0,0,955726,387390
JNJ,1584615,0,11182143,4796990,4378500,6213000,241992
AMP,1241364,0,4640000,3360000,8375000,1936713,824954
MSI,1350000,0,15267677,6599930,4635225,1247,324419
CHRW,500000,5000000,21512222,0,13741,0,940690
FISV,1400000,0,23252867,0,3000000,0,290891
GM,2100000,0,14625000,4875013,5250000,0,997392
CB,1550000,9000000,15650006,0,0,0,1461311
ICE,1250000,0,19899842,2974980,3406250,0,19800
SRE,1500000,0,8252705,3833364,4631300,8369692,834820
INTU,1100000,0,17840333,6375096,1980000,0,10000
U,380016,0,1226728,25523987,0,0,0
BLK,1500000,7900000,16449974,0,0,0,1089500
AMAT,1030000,0,23951048,0,1631520,0,241976
VNO,1000000,3700000,12900812,8898750,0,0,343952
DE,1591674,0,12446367,5733640,5911159,436715,602964
GS,2000000,8700000,15649863,0,0,99,320855
VCXA,0,0,26619680,0,0,0,45000
KLAC,1000000,0,23492301,0,2124000,0,28058
LLY,1621154,0,18840250,0,4401433,1439822,263073
HLT,1300000,0,16312319,5437461,2776998,0,729686
CVX,1818750,0,13669951,4252096,2610000,3702609,436450
F,1700000,0,20329795,0,2399040,0,2041198
FE,876923,1500000,22267685,0,1573767,49154,185087
T,2400000,0,16500000,0,6440000,750966,359191
Z,768705,0,0,25571040,0,0,23082
CLF,2116000,0,11860431,0,10150235,1944607,112655
JEF,1000000,8400000,16306281,0,0,0,429749
WFC,2500000,0,16634168,0,6625000,0,207030
HUBS,1,0,22604287,3277416,0,0,0
CAT,1752500,0,8499949,8500034,5733900,0,1343949
MA,1237500,0,16184841,3950064,4060000,0,314093
TEVA,1600000,1500000,18999993,0,2600000,0,1006887
ABBV,1700000,0,13701890,3437871,3500000,1331617,1990594
ADI,1128846,0,19997672,0,4071924,0,345193
NWL,1150000,0,22612298,0,1575038,0,199371
PM,1649458,0,13225739,0,4530802,6055916,18599
C,1500000,3675000,18701013,0,1562500,0,19800
AMC,1500000,0,17908855,0,6000000,0,23106
NLOK,940385,0,23336211,0,1005813,0,8956
MU,1255476,0,23750005,0,0,0,271472
LAZ,750000,2040000,22212119,0,0,0,136069
FYBR,1300000,0,20786986,0,2990000,0,13038
ACLX,600960,330000,18754302,5268334,0,0,10710
KO,1600000,0,8299550,7217020,6080000,921282,625056
NOC,1730769,0,16000440,0,5082875,1205310,718099
ANSS,850000,0,21312677,0,2402483,0,68631
AIG,1500000,0,10359302,3499989,9000000,0,258645
ADM,1482918,0,17919686,0,3609611,117551,1284902
META,1,0,0,0,0,0,24399967
UBER,1000000,0,13721292,6089126,3174800,0,262990
MPC,1737809,0,16200864,0,4688700,741763,685356
MPLX,1737809,0,16200864,0,4688700,741763,685356
FCX,1800000,0,12518840,0,3150000,5523987,1024494
EQIX,1050000,0,22821961,0,503,0,54988
SCHW,1500000,0,10950019,7300015,4104000,0,17710
TDG,1372500,0,0,20179574,2275000,0,18300
WIRE,1200000,7500000,14931000,0,0,0,97235
WSM,1600000,0,13999878,0,8000000,0,96662
AON,1500000,0,21487348,0,0,0,674485
RNR,1180000,0,17014841,0,4832100,0,620312
UNH,1500000,0,15000970,5000114,1800000,0,233852
ACMR,256212,205755,0,23067744,0,0,4264
SO,1245324,0,10009683,0,2802760,9352563,110057
QCOM,1346154,0,21110241,0,540000,0,493940
CME,2000000,0,12594380,0,7907600,55146,910874
LYV,3000000,0,0,0,18700000,0,1738317
UPS,1509713,0,18916192,1358762,1509713,0,95671
ABT,1500000,0,7436600,7437649,2945250,3665280,283392
OTEX,950000,0,9189844,10589263,2498125,0,21050
NEWR,585000,0,22261124,0,367088,0,1680
USB,1350000,0,10500000,0,3794175,7210212,62570
TT,1362500,0,9487257,2875006,4059149,4487670,584762
LMT,1751000,0,13008681,0,6655900,0,1398194
TRV,1450000,0,8550056,5699058,6000000,703164,327794
MAR,1400001,0,10932550,3750128,5600005,0,981361
AMGN,1786977,0,11138503,4773714,4264000,0,680456
GILD,1740962,0,11865090,3749966,4036200,0,1215472
V,1366543,0,11588449,4125008,5250000,4626,269942
GD,1700000,0,11246277,4649716,4287000,0,699783
CTSH,966036,750000,20252245,0,585224,0,9900
ITW,1400000,0,3587441,7174971,7574565,2648569,122271
NUE,1500000,0,12203031,1750000,5062500,0,1985095
CMG,1292308,0,9300795,6200364,5200000,0,479961
APD,1350000,0,17074629,0,3240000,11675,401795
BMRN,1479423,0,15949610,2370990,1668000,0,507997
LVS,3000000,0,9749944,0,6900000,0,2287874
RTX,1675000,2780000,9772488,6586686,0,13194,1102091
ANTM,1600000,0,11850043,3950036,3648000,0,840960
EL,2100000,0,10416576,5208432,2715450,1057600,313186
FOXA,3000000,0,9168582,2750000,4447500,646000,1765820
PG,1600000,4712000,11372562,3625001,0,0,406062
BKR,1589230,0,12083545,0,6328847,992907,686207
PCTY,625333,0,19975163,0,957600,0,114476
CVS,1500000,0,12374971,4124992,2992000,0,623071
LNG,1580769,0,15955533,0,4008000,0,20772
PFE,1787500,0,8745187,8761683,0,8440,2259254
EBAY,1000000,0,12904448,4141196,3330000,0,185025
LGF,1500000,10000000,9750004,0,0,0,278405
MOH,1500000,0,15500092,0,4410000,0,81631
XEL,1300000,0,18000011,0,1811160,175217,70780
HCA,1512222,0,6957391,7242825,5026128,0,577418
YUM,1300000,0,9096602,2875016,4712500,2999005,255832
RNG,5470,0,20616162,0,508722,0,10733
NXPI,1192923,0,16852540,0,2535040,420849,122390
TREB,539545,20000000,457600,0,0,0,64952
CI,1500000,0,12656213,3200020,3300000,80585,310437
MDLZ,1550000,0,10625963,3501056,4417500,0,923656
DHR,1300000,0,8068474,7509417,3541200,0,484191
TXN,808750,2000000,8750092,8750017,161750,0,421709
DOW,1685169,0,11793356,2760060,2758938,1019471,812452
H,1354167,0,14307053,2499956,2585200,0,43891
COP,1742500,0,14842125,0,3737663,0,448385
SYK,1391667,0,6652884,8410645,3780000,0,532651
MDC,1000000,0,11436609,0,8000000,0,294210
AFL,1441100,0,10270666,0,5796333,2720265,474889
EA,1300000,0,16724254,0,2454790,0,179958
TPC,1900000,0,10666084,0,6650000,0,1429243
VRTX,1500000,0,15001894,0,4050000,0,42547
NEE,1575000,0,10568909,2599993,4636800,811026,399396
DUK,1500000,0,16021168,0,1739063,344770,954874
MET,1475000,0,11285532,1597381,4800000,1088180,279916
NET,400000,0,19331393,0,0,0,783957
ETN,1441667,0,10029689,3012084,4032160,1743780,234609
WMG,2000000,2289610,15347525,0,0,0,789250
IBM,1500000,0,11483809,3339560,3510000,23183,541874
TXT,1352500,0,10100586,3477679,2621000,2682449,157548
LW,1100000,0,10499791,5249982,3300000,0,202503
YUMC,1425000,0,10000132,0,4916250,0,3994410
DXC,1298077,0,17130174,0,1620000,0,269721
MRK,1603091,0,9997585,4050000,3585300,651163,386148
PGRE,1100000,0,9087500,8162500,1671500,0,214412
MCK,1433333,0,13000596,0,5016667,0,770729
ROKU,1200000,0,7574982,11425151,0,0,18825
NRZ,1250000,0,8749984,0,10000000,0,160039
OMC,6999965,0,9500000,0,2500000,0,1150655
SSNC,1000000,0,11798896,3750824,3540000,0,8444
CP,1822095,0,8262088,5506930,0,302762,359277
HPE,1300000,0,15577803,0,3053361,0,135385
ON,1130769,0,17733531,0,1060163,0,41050
PNC,1200000,0,25500230,0,4410000,792588,797603
HAL,1600000,0,7017625,0,10634648,0,659119
DD,1000000,5000000,12830188,0,675000,0,349783
LHX,1542308,0,10114106,3375035,3735500,0,1057298
COKE,1319941,4250000,0,0,12729828,1089198,392033
RLAY,673802,0,0,18692755,404281,0,0
UNM,1100000,0,4499992,0,13185751,78000,863479
AMT,1100000,0,15200227,0,3366000,0,43018
BMY,1754808,0,14465570,0,2706444,0,734612
SYNA,725000,0,18339934,0,503295,0,9405
ENPH,450000,0,18804672,0,270750,0,2112
SPGI,1350000,0,13799664,0,3829500,0,527248
MLI,1450000,0,10161450,0,7250000,0,602933
HPQ,1300000,0,10148835,5714757,1989000,0,305839
FIS,1000000,0,9005347,6479998,2858000,0,92177
PSX,1583333,0,9620568,3000816,4036181,413305,755058
BWA,1387500,0,13223536,0,3651200,0,1045959
BSY,200000,0,14298984,0,4764861,0,39566
LAD,1300000,0,15312692,0,2666040,0,7258
NWSA,3000000,0,10380976,0,5426667,0,469649
PRU,1300000,0,13000041,0,4143000,691074,79213
TGT,1400000,831600,14720515,0,1782200,0,469038
LIN,1375000,0,9409791,3880751,3480263,868883,185567
SYF,1141346,0,13550032,0,3870900,0,613406
MCD,1417500,0,6500181,6500043,4027620,0,709657
MMC,1400000,0,5775090,5550012,6000000,0,329854
TMO,1730027,0,8357021,5536313,2623068,0,730240
MAT,1500000,0,8559377,2853125,5857500,0,178384
BGNE,871000,0,5499851,10999987,1132300,0,422592
PXD,762941,230400,16483878,0,1305600,0,122178
LEA,1300000,0,13349215,0,3536000,41649,664508
ES,1325001,0,8018396,0,1630000,7832472,79708
FLR,1350045,0,12398674,1477532,3381800,0,269239
ZETA,750000,475000,16361999,0,750000,0,531640
SKX,6504039,0,7333065,0,3890549,0,1110285
AZO,1050000,0,89372,15877386,1539720,0,240344
DSAC,416146,0,18174945,0,162435,0,26586
CAH,1245534,0,14828888,0,2383757,0,318254
ENB,1780110,0,9256836,2314115,4418945,721000,241778
BSX,1400000,0,10472753,3124984,3244150,291667,190181
CAG,1317308,0,14444447,0,2471385,0,486961
CZR,2000000,0,12161765,0,4112000,0,336594
PSN,976923,0,15215909,0,2290200,18822,95041
UAL,1075000,0,10705744,0,6636815,0,155740
CNC,1400000,0,13573031,0,3298600,0,285335
IRNT,240000,0,14840000,0,0,0,3463934
MO,1350000,0,6600049,0,6720000,3630508,228071
TRU,1055058,0,16464022,0,896571,0,106205
THC,1500000,0,10130393,0,6300000,0,587717
SLG,1250000,0,15767540,0,1454167,0,36464
NDAQ,1250000,0,12551660,0,4653812,0,43280
MLM,1285000,0,8580337,0,3453842,5132284,37422
OWL,500000,0,17304596,0,0,0,673599
CBRE,1250000,0,14749941,0,2352893,0,6000
SWTX,725000,0,11804382,5054400,761250,0,6457
EMR,1410000,0,12912123,0,3600576,11000,383495
LRCX,1150000,0,11291907,3643192,2212600,0,12400
SOFI,1000000,0,14196036,0,2712000,0,355850
APSG,1240000,2000000,11499993,0,3416052,0,103458
SLB,1550000,0,12000045,0,3502150,1022545,174845
CRCT,490272,0,8192000,0,400875,0,9142333
LOW,1450000,0,11193496,3591228,1826130,0,101418
CNHI,1700000,2355000,10407703,0,3083800,74046,478056
ROST,1445625,0,10700095,0,5800000,0,149224
APTV,1462272,0,14032595,0,2193408,0,311861
VGR,2018678,0,9675000,0,2334096,3423776,495100
MNST,1100000,0,10306296,3440363,2887500,0,141323
MPW,1000000,400000,13940389,0,2400000,0,113662
APPF,511223,0,8500125,8067600,656175,0,11754
OXY,1472603,0,12028476,0,3375000,0,858940
BILL,550000,0,16545814,0,625350,0,0
CARR,1387500,0,6127211,5894030,3503500,36319,746640
HST,1050000,0,12746827,0,3511400,0,386359
FTV,1250000,0,9617124,3608064,2757375,0,576601
ADSK,1040416,0,16494632,0,0,0,65704
EMN,1360810,0,11208310,2472937,1597050,543510,415273
BG,1200046,0,10964403,0,4863360,0,560061
FANG,1350000,0,14418504,0,1771875,0,43007
OPEN,750000,250000,16566265,0,0,0,0
WMB,1390770,0,9999977,0,2649416,3453819,54820
COR,1400000,0,12500174,0,3231550,0,379516
ABC,1400000,0,12500174,0,3231550,0,379516
POST,1245667,0,16008243,0,0,0,105886
CDNS,750000,0,7702791,7689913,1187386,0,11772
DAN,1326000,0,11958807,0,3407922,0,634425
BDX,1315625,0,9491982,4044035,1888125,313046,257125
AGCO,1316667,0,9252255,0,3732750,2567180,402414
SWKS,1170502,0,14554926,0,1509604,0,26404
RCL,1246986,0,11500037,0,4280000,0,189252
WELL,1200000,0,11653191,0,4320000,0,26700
MBI,900000,0,1575000,0,1356000,0,13309688
CL,1475000,0,6863950,3075008,4725000,52764,929862
PRVA,541667,0,15886998,0,630000,0,14520
MRNA,1563462,0,3129194,9387713,1913625,0,1074520
FTI,1328700,0,12436674,0,2955195,0,341926
BGCP,1000000,0,2044535,0,14000000,0,0
GEHC,1246006,0,12705850,7468736,2460938,46043,583374
ET,1432554,0,13282060,0,2300000,0,25167
K,1338462,0,10995985,1524318,2829600,0,350276
MGM,2000000,0,10000000,0,4774912,0,228882
ENVX,519846,0,16140000,0,328719,0,13992
PCG,1400000,0,11750292,0,3453030,33718,357799
UTHR,1476379,0,5376600,5926252,4161000,0,17826
LPLA,946154,0,11901699,0,4000000,0,89937
COST,1154808,0,14937824,0,362500,360133,55358
INTC,1067700,0,12426800,0,2886000,112000,362900
WRB,1086800,0,3850025,0,11198400,0,678341
BK,1300000,0,10025856,0,5425000,0,50311
DOV,1292500,1999920,8086100,5209390,0,0,207191
AEO,1817308,0,5810002,2490002,6360577,0,315330
ROK,1198817,0,7000325,3000013,3006773,2519169,39923
CHPT,562500,0,15748311,0,431250,0,13472
HES,1500000,0,6900071,4599998,3723800,0,26334
X,1400000,0,10500023,0,4284000,0,549904
AMED,692308,0,13519582,1253621,1000000,0,260668
TEL,1302188,0,6387876,6575048,2084067,0,368569
INCY,1291929,0,9334654,4425053,1554703,0,53187
OPCH,1000000,0,7875000,5125000,2600000,0,13200
IRTC,677463,0,15172621,0,716000,0,29065
ETSY,652603,0,15483730,0,396000,0,44771
LYB,1437500,0,8978151,2664298,2946400,16479,503366
CNR,1051923,2135617,0,0,13182745,0,162395
KMB,1471250,0,10799903,0,3530558,0,726341
LULU,1292308,0,5000011,4999937,5169231,0,33290
ALL,1385000,0,7883165,4986008,2077500,0,156284
MMM,1464544,0,6000053,5999289,2665470,0,295210
EXEL,1192001,0,14259313,0,960993,0,11000
HIG,1200000,0,5747175,5250000,3861000,37310,312765
PH,1086667,0,10062781,1717543,3043673,0,493682
GIS,1250000,0,6508460,2204316,3622500,2465417,334953
HUM,1469893,0,10898833,3492874,0,0,465784
MSGE,1823077,0,10973100,0,3064000,0,450028
FTNT,622000,0,15081692,0,597921,0,0
IT,956490,0,9287552,3980328,1914969,0,160149
MQ,571458,0,7396047,7620111,690000,0,16697
CNP,1493269,0,9900034,0,4068750,0,742421
KRTX,746875,0,7355323,7354017,731250,0,9916
ED,1345833,0,6661780,0,2261250,5828405,79603
LILA,1500000,0,8196987,4736240,1395063,43767,289897
WYNN,1900962,0,11483057,0,2750000,0,18615
AYX,677500,0,15133743,0,324758,0,7310
EXTR,800000,0,14190565,0,1124760,0,17353
EXAS,1041700,0,12976236,0,1920277,0,181686
CNA,1250000,0,5499991,0,7500000,0,1834221
MTCH,1000000,1860000,13210272,0,0,0,10000
STZ,1338462,0,6389602,4999557,3110960,0,229759
A,1315693,0,11329058,2780022,514597,0,84040
GPN,958333,0,10193616,3250060,1412778,0,185696
LH,1373692,0,9071320,2250072,2346018,0,938253
LZ,538462,0,8968783,5947916,484615,0,13200
GLPI,1808468,0,9975350,0,3616934,0,546915
VTRS,1023077,0,11200008,0,2884494,0,822830
RBA,781250,0,10212124,2943875,1816875,0,174201
OTIS,1368750,0,8847967,2824633,2450000,0,432844
AGLE,272850,141000,0,15500492,0,0,5203
JCI,1500000,0,9301583,2749983,1773600,0,557480
BHC,1169231,0,13133812,0,1545000,0,30535
GDDY,1000000,0,13827459,0,1024000,0,25758
TGTX,875000,0,13868800,0,1093759,0,0
EQH,1249820,0,10600037,0,3494280,368485,120480
ADV,985769,2950000,5999995,5765000,0,0,79971
NBIX,946000,1040600,7021386,6678790,0,0,64036
SEE,1329820,0,13991037,0,366708,0,29700
DXCM,1092822,0,12486939,0,1988948,0,143535
KR,1422581,0,10000038,2500632,672560,193388,921373
BEN,750000,0,11082400,0,3650000,0,211827
KBH,1150000,0,7178664,0,7280000,0,80391
PCAR,1544231,0,4262500,1856874,3487500,4486196,21364
TLRY,1819000,2500000,9249999,0,1909950,0,177635
HSY,1400000,0,8256692,0,2934176,2569968,493373
PGR,994231,0,10000106,0,4424327,0,217954
GLW,1580000,0,11355517,0,1968325,329695,394116
LEVI,1544231,0,9074253,2874997,1741215,0,388537
PTC,850000,0,13036021,0,1721250,0,9900
PVH,1291667,0,8880455,2221317,2784080,274671,161714
FLEX,1325000,0,11020718,0,2815671,26607,409914
GLP,1000000,500000,6499980,0,7500000,7606,81871
SPG,1250000,4000000,10000259,0,0,0,314048
ANET,300000,0,15051588,0,200000,0,10399
HOLX,1175341,0,8685571,2749981,2311254,0,632885
UNP,925403,0,7200161,4800113,960000,1500939,165960
ECL,1243750,0,5874624,4055664,3731250,195936,445831
PENN,1800000,0,3388480,5564999,4365000,0,423826
DINO,1030000,0,12336306,0,1810658,34289,316565
IR,1133000,0,6315820,4466985,3432000,0,175945
FND,1054231,0,13710223,0,0,0,752380
AJG,1300000,0,3988775,1388841,5850000,36498,2932108
WAB,1325000,0,10655185,0,3485178,0,27877
ARE,1255000,2000000,8089293,0,2823750,1028016,289271
MASI,1247786,0,9899929,3299985,0,0,1029056
ETRN,790250,7500000,5364344,0,1715880,0,87380
OMF,1000000,0,10267357,0,2562000,0,1619311
HEI,1330255,0,0,5946950,5314712,0,2855584
IIVI,1125000,0,13135025,0,65456,0,1110175
CIEN,1000000,0,12933210,0,1485000,0,13200
MDT,1350000,0,9626040,3975004,0,0,443588
IBKR,550000,3475000,11025000,0,0,0,329511
JAZZ,1196621,0,12896545,0,1217216,0,30853
NLY,1000000,7328100,6984000,0,0,0,15200
HROW,680086,0,14150821,0,421800,0,3756
HUN,1400000,0,9880021,0,250000,3322662,390645
ZTS,1200000,0,8774860,2924967,2106000,0,232026
PKG,1433580,0,9604906,0,3281040,888965,19699
REZI,1057654,1548634,10743018,0,1854840,0,3464
CEG,1181944,0,10000025,0,3309384,471090,222942
TOL,1204716,0,5977623,0,7800000,132041,38516
PFG,1038462,0,9661687,0,3310096,765298,343285
HAS,1500000,0,7875020,3086034,1944000,0,705815
ANF,1401923,0,8872572,0,4725000,0,35859
LADR,1000000,0,5780033,0,8201000,0,2910
TRMB,950000,0,10595669,2084098,1320338,0,4537
SANM,1245192,0,12058000,0,1600000,0,42164
DVN,1232846,0,11421978,0,1641300,0,587027
EIX,1396538,0,6825189,2275001,1849365,2505218,29800
IRM,1186723,0,9456866,1724995,2444400,0,54156
IMNM,162500,0,0,14215856,483600,0,4875
NTNX,800010,0,13153930,0,892000,0,0
OGN,1244231,0,8260650,2749368,1837500,0,740523
LFST,623077,0,13423219,0,770000,0,13200
GT,1433333,0,4915483,0,6592600,1666533,132353
TDC,800000,0,12789835,0,950000,0,192914
GE,2500000,0,4999987,0,5625000,1002278,571020
FL,1300000,0,11754925,1600011,0,0,37689
ADNT,829500,0,11583518,0,2239650,0,25971
CCI,1060000,0,12020551,0,1537848,0,57772
MPWR,822877,0,12311787,0,1508805,0,0
WM,1388461,0,8405433,1950000,2638116,0,246844
PWR,1287500,0,10562602,0,2453100,0,321330
AMG,750000,0,8990000,0,4811000,0,66823
SBUX,1275000,0,9717954,0,2885480,0,726097
AMCX,1653846,0,8816270,0,4040000,0,71520
DT,630000,0,13234082,0,670572,0,28509
EOG,1169231,0,10496402,0,2520000,0,373139
CTRA,1125000,0,11071724,0,2000000,0,351129
AME,1360000,788800,7219863,1949327,2318414,335760,566380
TPR,1350000,0,6694692,4002498,2381400,0,60913
ALB,1334038,0,8232532,2500044,1921915,0,483585
RL,1350000,0,9110544,0,3920400,0,90412
IPG,1500000,0,6663055,0,6055600,38695,184010
CRNC,580191,0,13256602,0,573183,0,28757
HD,1400000,0,8543529,2109958,2290880,0,74885
UHS,1352052,0,4944124,4944434,3042117,78003,47207
HIMS,612040,0,11116592,1305179,1200000,0,167600
MCO,1000000,0,8799948,2200036,2000000,366643,21032
