OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
554400,Alexandria Technical & Community College,Alexandria,MN,Midwest,9.262,4.7,Associates,Public,Town,No,,,No,1303,13.636,17.88,3.946,8.273,8.399,20.22,24.28,60.59,26.2564991,49.1675,45.227
735000,Anoka Technical College,Anoka,MN,Midwest,9.5,6.5,Associates,Public,Suburb,No,,,No,1479,13.236,16.828,4.273,8.333,8.371,33.84,37.7,45.5,37.1482176,30.099,44.164
233200,Anoka-Ramsey Community College,Coon Rapids,MN,Midwest,8.852,6.7,Associates,Public,Suburb,No,,,No,4698,11.719,15.446,3.377,5.615,8.434,23.05,20.55,24.53,34.1625788,38.207,45.03
233400,Augsburg University,Minneapolis,MN,Midwest,19.329,5.6,Graduate,Private nonprofit,Large City,No,73.12,1050.0,No,2487,23.898,54.069,15.346,11.258,8.329,48.56,75.78,59.28,28.9012004,41.36,53.472
233500,Riverland Community College,Austin,MN,Midwest,9.333,10.9,Associates,Public,Town,No,,,No,2099,9.149,14.154,3.644,6.724,8.16,26.99,20.43,39.73,35.6707317,31.963,39.275
575900,Northwest Technical College,Bemidji,MN,Midwest,9.5,8.6,Associates,Public,Town,No,,,No,558,11.638,16.285,3.112,8.328,7.71,34.0,38.44,35.62,27.4253731,32.0,37.749
233600,Bemidji State University,Bemidji,MN,Midwest,13.0,3.2,Graduate,Public,Town,No,69.44,1105.0,No,3698,16.033,20.919,5.559,7.343,8.863,29.27,51.41,45.99,27.2524532,57.931,46.619
233700,Bethany Lutheran College,Mankato,MN,Midwest,17.75,5.0,Bachelors,Private nonprofit,Small City,No,64.51,,No,632,16.107,38.528,10.732,11.053,7.218,23.08,52.5,61.7,,70.558,40.621
905800,Bethel University,Saint Paul,MN,Midwest,17.827,1.9,Graduate,Private nonprofit,Suburb,No,86.63,1203.0,No,2491,28.178,52.723,16.524,9.611,7.796,23.96,59.89,74.09,18.5825411,77.4255,55.159
233900,Central Lakes College-Brainerd,Brainerd,MN,Midwest,8.0,10.2,Associates,Public,Town,No,,,No,1671,12.429,16.947,3.118,6.479,8.377,20.59,17.67,42.28,31.71875,30.4635,39.476
234000,Carleton College,Northfield,MN,Midwest,15.826,0.8,Bachelors,Private nonprofit,Town,No,21.18,1438.0,No,1918,28.928,74.275,34.353,33.282,12.689,13.9,42.46,93.79,15.6812339,78.779,67.132
234600,Concordia College at Moorhead,Moorhead,MN,Midwest,20.601,2.2,Graduate,Private nonprofit,Suburb,No,58.08,1169.0,No,1873,23.189,53.819,17.094,6.671,7.408,21.3,66.85,67.59,12.6884422,87.417,51.988
234700,Concordia University-Saint Paul,Saint Paul,MN,Midwest,12.5,3.5,Graduate,Private nonprofit,Large City,No,68.6,,No,3222,15.88,32.686,11.604,4.358,6.474,37.7,57.66,47.52,33.5669236,42.756,53.164
1040200,Dakota County Technical College,Rosemount,MN,Midwest,7.982,6.1,Associates,Public,Rural,No,,,No,2109,11.044,14.879,4.416,8.09,8.32,30.54,32.43,47.41,31.1565696,39.514,45.691
236100,Martin Luther College,New Ulm,MN,Midwest,16.5,0.5,Graduate,Private nonprofit,Town,No,87.31,1185.0,No,777,22.205,27.23,13.326,8.894,4.626,26.72,49.01,74.87,,60.9235,40.821
575700,Lake Superior College,Duluth,MN,Midwest,8.795,9.6,Associates,Public,Small City,No,,,No,2934,14.801,18.178,4.745,7.756,8.099,21.76,25.98,40.05,28.4871245,31.563,42.85
960000,Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,Midwest,9.847,14.6,Certificate,Prviate for-profit,Small City,No,,,No,23,13.875,16.163,9.472,2.89,,41.18,52.94,88.89,,14.779,20.445
554100,Minnesota State Community and Technical College,Fergus Falls,MN,Midwest,9.25,9.4,Associates,Public,Town,No,,,No,3385,11.244,15.009,3.307,6.647,8.381,27.6,29.97,41.91,30.0653595,32.3985,41.47
526300,Minnesota West Community and Technical College,Granite Falls,MN,Midwest,9.1,13.0,Associates,Public,Town,No,,,No,1683,11.439,16.333,3.894,7.599,8.079,23.18,21.16,45.36,36.5686275,31.859,39.46
235300,Gustavus Adolphus College,Saint Peter,MN,Midwest,24.25,1.2,Bachelors,Private nonprofit,Town,No,70.61,,No,2230,24.696,59.205,18.609,16.857,7.567,28.25,62.45,78.3,14.6583851,78.4195,59.178
235400,Hamline University,Saint Paul,MN,Midwest,15.75,3.2,Graduate,Private nonprofit,Large City,No,68.95,1147.0,No,1907,20.474,51.984,17.585,7.502,8.014,38.84,66.09,65.12,23.2016211,60.017,53.895
1049100,Hennepin Technical College,Brooklyn Park,MN,Midwest,9.5,9.3,Associates,Public,Suburb,No,,,No,3124,10.726,15.455,3.845,8.805,8.259,31.94,25.32,29.31,37.6470588,26.337,43.39
235500,Hibbing Community College,Hibbing,MN,Midwest,9.105,9.9,Associates,Public,Town,No,,,No,680,8.736,14.422,5.071,10.109,8.028,40.81,40.81,42.51,33.7001376,29.9585,40.829
2123200,Aveda Arts & Sciences Institute Minneapolis,Minneapolis,MN,Midwest,6.333,8.3,Certificate,Prviate for-profit,Large City,No,,,No,554,16.667,21.878,11.684,6.363,,34.49,49.49,70.75,28.3882784,41.906,36.802
974000,Inver Hills Community College,Inver Grove Heights,MN,Midwest,9.269,6.9,Associates,Public,Suburb,No,,,No,2643,11.57,15.246,3.991,6.507,8.411,23.97,21.42,28.47,33.3692142,34.983,47.232
235600,Itasca Community College,Grand Rapids,MN,Midwest,7.589,14.1,Associates,Public,Town,No,,,No,636,12.084,16.948,3.296,6.037,8.325,32.39,28.34,30.28,27.6946108,33.0715,39.822
235800,Macalester College,Saint Paul,MN,Midwest,19.27,0.2,Bachelors,Private nonprofit,Large City,No,38.69,1390.0,No,2049,27.764,71.053,25.423,22.586,10.96,18.64,44.33,92.59,12.8256513,88.9915,57.134
553700,South Central College,North Mankato,MN,Midwest,8.25,11.0,Associates,Public,Suburb,No,,,No,2138,10.358,14.879,4.027,8.542,8.271,41.3,31.93,31.38,36.6827254,31.9165,40.025
236000,Minnesota State University-Mankato,Mankato,MN,Midwest,14.995,3.6,Graduate,Public,Small City,No,67.26,1105.0,No,11840,17.159,20.858,7.89,8.227,9.79,24.55,50.97,50.97,24.2115972,68.513,51.689
400900,Mesabi Range College,Virginia,MN,Midwest,8.477,14.4,Associates,Public,Town,No,,,No,597,11.388,16.613,3.174,7.898,8.191,34.28,32.52,30.73,30.6122449,22.694,40.419
1037400,Metropolitan State University,Saint Paul,MN,Midwest,13.125,4.2,Graduate,Public,Large City,No,61.89,,No,6155,16.044,22.819,5.314,6.209,9.751,45.3,41.87,45.9,37.1321408,28.315,56.402
