regular_wages,overtime_wages,other_wages
389213.12,14004.34,216130.12
389213.12,3886.35,222802.47
405416,0,209176.13
372969.28,1615.95,224133.1
372969.29,897.75,159011.7
530630.76,0,0
431880,0,90778.7
389213.12,2342.13,122826.96
405416,0,83999.58
389245.4,0,99499.8
405416.01,0,74286.61
372969.28,5476.28,99496.34
460595.31,0,12426.37
372969.28,4176.91,84621.05
449684.19,0,0
319565.59,0,109461.31
314037.76,0,109617.4
297522.92,0,116605.13
366634.1,2120.82,40969.64
405416.01,0,2000
405932.8,0,0
389245.4,0,14614.86
392567.1,0,9458.81
389245.41,0,9368.5
358513.51,3005.63,33212.18
384097.35,0,9881.1
392567.08,0,0
380761.98,0,10010.76
389164.71,0,1124.22
372969.28,0,15000
356766.41,0,15000
362069.05,0,0
357446.61,0,4130.04
346947.57,0,9104.02
313489.24,0,35413.95
348858.34,0,0
338737.4,0,0
97742.2,564.6,239193.04
293687.93,0,35813.28
325818.08,0,0
313998.7,0,9559
322767.14,0,0
193927.68,0,128439.88
314037.76,0,2000
315984,0,0
314478.59,0,0
314478.31,0,0
306204.25,0,8053.93
314037.76,0,0
110363.46,6302.8,194460.64
293687.93,0,16747.76
303328.42,0,6703.47
218720.24,0,87552.11
305136.63,0,0
302513,0,0
294823.39,0,5000
254496.77,0,44811.82
294823.36,0,0
175330.57,0,116073.67
290477.12,0,0
285011.2,0,5442.48
61673.28,0,214949.87
117538.05,20105.93,137950.38
268352.81,0,6465.53
271748.2,0,0
233079.76,2447.44,35269.45
269665.69,0,0
269658.82,0,0
268352.82,0,0
268352.8,0,0
183197.8,0,83833.73
260383.33,0,6273.95
260195.84,0,6263
77070.4,0,189254.84
265233.01,0,0
138382.22,0,124794.57
187980.16,0,74639.52
111227.97,0,151086.6
262107.2,0,0
255555.61,0,6154.21
128656.51,0,128876.22
204117.41,10463.34,42187.89
249631.61,0,6570.53
114097.87,37853.9,102031.2
250501.25,0,0
222591.89,21645.05,5570.24
249519.68,0,0
241720.9,0,6357.87
240887.04,0,6335.66
195028.67,0,51425.12
239801.33,0,6308.86
245446.61,0,0
245332.21,0,0
239034.63,0,3682.77
242359.83,0,0
241526.1,0,0
235495.39,0,5705.16
144071.04,0,96899.48
240746.59,0,0
185997.76,0,53516.56
157667.72,12723.56,68925.86
239039.51,0,0
238811.08,0,0
238476.25,0,0
237512.61,0,0
230628.27,0,6217.74
94981.28,90116.75,51548.1
236429.92,0,0
166788.34,30052.7,39179.28
229514.21,0,6036.79
235515.3,0,0
228606.67,0,5507.66
233619.52,0,0
226793.6,0,6459
233136.53,0,0
226383.22,0,6104.21
229474.87,0,3000
226793.6,0,5459
226793.6,0,5459
226793.6,0,5459
69227.76,0,162400.46
226203.49,0,5224.96
225596.8,0,5423
229777.73,0,0
229237.85,0,0
200590.4,0,28359.51
116688.5,112122.62,0
228606.68,0,0
228606.68,0,0
228606.67,0,0
222159.9,0,5843.35
197434.83,22304.03,7779.25
161341.9,0,66062.43
221488.35,0,5430
221467.66,0,5429.5
226793.6,0,0
221408,0,5327
191926.68,32121.71,2683.51
190940.16,0,35553.66
221145.6,0,5316
221145.6,0,5316
221145.6,0,5316
169174.64,29738.7,27390.41
224950.22,0,1000
187889.19,22886.87,14957.63
144854.15,68454.09,12319.65
158137.96,48109.81,19175.83
224493.22,0,0
175420.33,32784.75,16125.58
151586.65,9674.24,62815.51
187140.49,26323.4,10175.96
169892.41,25629.13,27888.37
214328.84,0,8934.03
185914.98,9978.64,26997.91
131763.36,0,90897.69
217329.28,0,5328
167697.28,42049.37,12761.21
216613.22,0,5220.31
221145.6,0,0
198734.09,22304.03,0
120042.92,5464.13,95521
183530.33,10775.94,26287.12
160839.04,150.52,59422.5
66821.13,0,153404
196287.62,9978.65,13751.76
105632.51,0,113631.07
219237.46,0,0
178743.1,0,40042.53
196269.29,18150.98,4146.65
213222.08,0,5133.5
218001.1,0,0
217826.36,0,0
212837.89,0,4917.68
217647.37,0,0
191770.32,0,25568.98
217150.7,0,0
186188.59,9636.54,21214.07
216919.68,0,0
190645.04,459.95,24606.25
209936.71,0,5521.36
215169.56,0,0
141448.96,42094.57,31577.82
100805.12,0,114214.8
214935.98,0,0
214935.98,0,0
214935.98,0,0
214935.98,0,0
214935.98,0,0
214935.36,0,0
205786.45,0,8918.21
182182.18,159.06,32013.47
214258.89,0,0
213843.69,0,0
207827.85,0,6007.2
129091.15,60369.26,24282.4
213716.87,0,0
199284.62,14154.03,0
204084.76,0,9150
189534.52,11736.36,11887.41
152248.87,29846.74,30715.37
160876.8,0,51732.83
139009.28,133.84,73345.68
149125.48,19921.74,43085.61
149125.44,933.27,62032.27
209610.65,0,2088
200979.09,3717.34,6917.11
167631.84,0,43937.53
183451.49,0,27649.14
141087.8,37816.82,32168.87
210811.44,0,0
118476.78,16928.27,75168.28
210389.54,0,0
190528.96,1089.18,18470.28
205025.6,0,4928.5
204538.79,0,5379.88
209879.94,0,0
205665.29,3991.46,0
209438.06,0,0
168546.61,20940.8,19829.69
209219.99,0,0
118037,15070.67,75759.62
183469.8,619.15,24566.97
208367.76,0,0
168883.87,0,39160.59
118215.35,0,89828.5
207395.58,0,0
175286.49,31931.68,0
198592.82,0,8609.38
100813.59,0,106347.85
149125.44,0,57788.58
124909.76,0,81628.75
164627.05,0,41859.86
101534.08,7495.04,97264.87
186847.36,1067.94,17914.63
185125.3,1160.47,19468.87
191908.11,13340.82,0
175377.56,0,29625.81
200436.27,0,4505.75
175377.56,0,29410.19
131781.89,17661.25,55310.26
165938.08,13273.34,25449.11
139617.32,0,64995.63
204568.64,0,0
199680,0,4800
199680,0,4800
199402.24,0,4799
195835.73,0,8308.04
204138,0,0
152074.48,12247.64,39774.21
204040.29,0,0
203952.64,0,0
156918.93,0,46790.16
197926.1,0,5721
174804.66,0,28681.79
202811.42,0,0
176412.72,26219.66,0
166880.64,78.65,35585.46
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202529.04,0,0
202451.15,0,0
60564.8,0,141541.32
196950.64,0,4741.38
192189.17,9454.2,0
196539.87,0,5006.23
200820.79,0,500
101670.24,0,99479.7
116114.4,0,85000
192681.58,0,8271.84
200912.43,0,0
200470.4,0,0
195683.52,0,4709.5
195683.52,0,4709.5
114863.74,25406.89,60121.74
127539.36,14666.61,58013.77
139009.28,0,60876.44
116641.1,82266.2,900
194148.22,0,5611.8
199680,0,0
199680,0,0
199623.02,0,0
199623.02,0,0
199623.02,0,0
199623.02,0,0
199623.02,0,0
199622.02,0,0
199622.02,0,0
199622.02,0,0
199622.02,0,0
199622.02,0,0
194831.43,0,4683.5
199377.07,0,0
179078.11,0,20000
198952.3,0,0
190584.32,0,8265.6
145667.09,21991.99,31132.26
198735.75,0,0
193439.46,0,5214.38
166367.01,27698.06,4579.7
190940.16,0,7596
153365.71,26416.77,18717.16
175632.32,425.25,22423.24
167381.44,0,31016.92
193958.72,0,4439.5
170349.62,0,28047.75
198386.36,0,0
188922.02,0,9412.84
198244.41,0,0
153698.23,26858.17,17677.21
198073.23,0,0
198045.32,0,0
196054.4,0,1922.6
197976.37,0,0
197926.09,0,0
193218.24,0,4500
149125.44,10086.5,38497.39
197489.92,0,0
173232.19,11150.73,12861
192593.64,0,4586.5
192593.6,0,4586.5
192593.6,0,4586.5
158752.8,32025.87,6346.62
185612.26,11152.02,0
172877.04,23380.48,436.79
165378.24,0,31150.4
196475.41,0,0
139009.28,1003.8,56444.82
165193.6,0,30919.18
184664.99,3003.53,8227.12
195840,0,0
195683.55,0,0
195683.53,0,0
195683.52,0,0
195683.52,0,0
138737.12,0,56885.2
139283.58,26344.66,29909.57
190940.16,0,4596
190940.16,0,4596
190940.16,0,4596
190940.16,0,4596
190940.16,0,4596
190940.16,0,4596
157651.2,0,37808.55
190856.96,0,4594
190670.57,0,4733.56
195316.94,0,0
157283.36,151.2,37712.36
190253.44,0,4582
140210.56,24275.08,30285.98
189564.67,0,5065.13
194611.58,0,0
190827.4,0,3764.63
143299.2,0,51129
194283.81,0,0
77788,108572.32,7903.52
189550.4,0,4556.5
170412.66,23668.63,0
174981.5,19032.75,0
193880.49,0,0
51844.49,0,141921.02
193759.72,0,0
161325.48,22380.66,10010
190812.16,0,2879.85
193616.8,0,0
141943.25,20880.12,30678.16
188672.01,0,4474.45
118658.44,74415.41,0
166379.88,0,26518.88
181961.6,0,10810.68
192610.83,0,0
155808.46,24604.02,11846.38
93292.8,0,98624.95
183760.76,3541.53,4426.91
181227.84,0,10500
187227.52,0,4435
166779.36,0,24860.13
191541.94,0,0
183874.45,7613.1,0
170912.15,18150.99,2400.92
171438.15,0,20000
180477.77,297.68,10573.88
189679.38,0,1500
155065.54,0,36047
186596.8,0,4485.5
190940.16,0,0
190940.16,0,0
190940.16,0,0
190940.16,0,0
190940.16,0,0
161812.16,3462.29,25510.89
186284.8,0,4478
186284.8,0,4478
139009.28,0,51616.16
162598.24,0,28025.82
107965.18,0,82639.18
109786.98,29938.3,50788.36
190441.6,0,0
190216.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
190117.94,0,0
